c_number,name,formula,exact_mass,mol_weight,pathway,reaction,enzyme,description
C00018,Pyridoxal phosphate;,C8H10NO6P,247.0246,247.14,map00730  Thiamine metabolism,R00173 R00174 R00277 R00278 R01147 R01580 R07456 R10088,1.4.3.5         2.6.1.54        2.7.1.35        3.1.3.74,
C00019,S-Adenosyl-L-methionine;,C15H22N6O5S,398.1372,398.44,map00261  Monobactam biosynthesis,R00075 R00177 R00178 R00179 R00367 R00380 R00594 R00595,1.1.98.7        1.1.99.38       1.3.98.3        1.3.98.6,
C00020,AMP;,C10H14N5O7P,347.0631,347.22,map00230  Purine metabolism,R00085 R00087 R00103 R00122 R00127 R00157 R00160 R00181,1.2.1.30        1.2.1.95        1.2.1.101       1.8.4.9,
C00021,S-Adenosyl-L-homocysteine;,C14H20N6O5S,384.1216,384.41,map00270  Cysteine and methionine metabolism,R00192 R00193 R00194 R00367 R00380 R00594 R00595 R00596,1.16.1.8        2.1.1.1         2.1.1.2         2.1.1.4,
C00022,Pyruvate;,C3H4O3,88.0160,88.06,map00010  Glycolysis / Gluconeogenesis,R00006 R00008 R00014 R00195 R00196 R00197 R00198 R00199,1.1.1.27        1.1.1.28        1.1.1.38        1.1.1.39,
C00023,Iron,Fe,55.9349,55.85,map05208  Chemical carcinogenesis - reactive oxygen species,,,
C00024,Acetyl-CoA;,C23H38N7O17P3S,809.1258,809.57,map00010  Glycolysis / Gluconeogenesis,R00209 R00210 R00211 R00212 R00227 R00228 R00229 R00230,1.1.1.-         1.2.1.10        1.2.1.18        1.2.1.27,
C00025,L-Glutamate;,C5H9NO4,147.0532,147.13,map00220  Arginine biosynthesis,R00021 R00093 R00114 R00239 R00243 R00245 R00248 R00250,1.2.1.88        1.4.1.2         1.4.1.3         1.4.1.4,
C00026,2-Oxoglutarate;,C5H6O5,146.0215,146.10,map00020  Citrate cycle (TCA cycle),R00021 R00093 R00114 R00243 R00248 R00250 R00258 R00264,1.1.1.41        1.1.1.42        1.1.1.95        1.1.1.286,
C00027,Hydrogen peroxide;,H2O2,34.0055,34.01,map00630  Glyoxylate and dicarboxylate metabolism,R00009 R00011 R00017 R00033 R00052 R00057 R00069 R00072,1.1.3.2         1.1.3.4         1.1.3.5         1.1.3.6,
C00028,Acceptor;,,,,,R00047 R00073 R00280 R00282 R00283 R00284 R00297 R00298,1.1.99.1        1.1.99.2        1.1.99.3        1.1.99.4,
C00029,UDP-glucose;,C15H24N2O17P2,566.0550,566.30,map00040  Pentose and glucuronate interconversions,R00286 R00287 R00289 R00291 R00292 R00293 R00766 R00806,1.1.1.22        1.1.1.-         2.4.1.11        2.4.1.12,
C00030,Reduced acceptor;,,,,,R00047 R00073 R00280 R00282 R00283 R00284 R00297 R00298,1.1.99.1        1.1.99.2        1.1.99.3        1.1.99.4,
C00031,D-Glucose;,C6H12O6,180.0634,180.16,map00010  Glycolysis / Gluconeogenesis,R00010 R00015 R00028 R00049 R00063 R00299 R00300 R00301,1.1.1.118       1.1.1.119       1.1.1.121       1.1.1.359,
C00032,Heme;,C34H32FeN4O4,616.1773,616.49,map00860  Porphyrin metabolism,R00310 R00311 R00312 R00313 R00314 R02480 R03684 R04977,1.3.98.5        1.3.98.6        1.14.14.18      1.14.15.20,
C00033,Acetate;,C2H4O2,60.0211,60.05,map00010  Glycolysis / Gluconeogenesis,R00227 R00229 R00235 R00315 R00316 R00317 R00318 R00319,1.1.1.318       1.1.1.319       1.2.1.3         1.2.1.4,
C00034,Manganese,Mn,54.9380,54.94,map00195  Photosynthesis,,,
C00035,GDP;,C10H15N5O11P2,443.0243,443.20,map00230  Purine metabolism,R00328 R00330 R00332 R00335 R00336 R00337 R00394 R00430,1.17.4.1        2.4.1.29        2.4.1.32        2.4.1.33,
C00036,Oxaloacetate;,C4H4O5,132.0059,132.07,map00010  Glycolysis / Gluconeogenesis,R00217 R00338 R00339 R00340 R00341 R00342 R00343 R00344,1.1.1.37        1.1.1.38        1.1.1.40        1.1.1.82,
C00037,Glycine;,C2H5NO2,75.0320,75.07,map00120  Primary bile acid biosynthesis,R00364 R00365 R00366 R00367 R00368 R00369 R00371 R00372,1.4.1.1         1.4.1.10        1.4.1.27        1.4.2.1,
C00038,Zinc cation;,Zn,63.9291,65.38,map02010  ABC transporters,,,
C00039,DNA;,C10H17O8PR2(C5H8O5PR)n,,,map00230  Purine metabolism,R00375 R00376 R00377 R00378 R00379 R00380 R00381 R00382,2.1.1.37        2.7.7.7         2.7.7.31        2.7.7.49,
C00040,Acyl-CoA;,C22H35N7O17P3SR,,,map00062  Fatty acid elongation,R00383 R00384 R00385 R00387 R00388 R00391 R00392 R00393,1.2.7.11        1.3.1.8         1.3.1.37        1.3.1.38,
C00041,L-Alanine;,C3H7NO2,89.0477,89.09,"map00250  Alanine, aspartate and glutamate metabolism",R00258 R00369 R00396 R00397 R00398 R00400 R00401 R00453,1.4.1.1         1.5.1.17        2.3.1.47        2.6.1.2,
C00042,Succinate;,C4H6O4,118.0266,118.09,map00020  Citrate cycle (TCA cycle),R00402 R00405 R00406 R00407 R00408 R00409 R00410 R00411,1.2.1.16        1.2.1.24        1.2.1.79        1.3.1.6,
C00043,UDP-N-acetyl-alpha-D-glucosamine;,C17H27N3O17P2,607.0816,607.35,map00520  Amino sugar and nucleotide sugar metabolism,R00414 R00416 R00417 R00418 R00420 R00421 R00422 R00423,1.1.1.136       1.1.1.374       2.3.1.129       2.4.1.16,
C00044,GTP;,C10H16N5O14P3,522.9907,523.18,map00230  Purine metabolism,R00012 R00330 R00335 R00394 R00424 R00425 R00426 R00428,1.1.98.6        1.17.4.2        2.7.1.40        2.7.1.48,
C00045,Amino acid;,C2H4NO2R,,,,R03867 R04159 R04913 R08679 R08683 R08684 R08792 R11672,1.14.13.-       2.3.2.2         2.6.1.-,
C00046,RNA;,C10H18O13P2R2(C5H8O6PR)n,,,map00230  Purine metabolism,R00435 R00436 R00437 R00438 R00439 R00440 R00441 R00442,2.7.7.6         2.7.7.8         2.7.7.19        2.7.7.48,
C00047,L-Lysine;,C6H14N2O2,146.1055,146.19,map00300  Lysine biosynthesis,R00445 R00446 R00447 R00448 R00449 R00451 R00452 R00453,1.4.1.15        1.4.1.18        1.4.3.14        1.4.3.20,
C00048,Glyoxylate;,C2H2O3,74.0004,74.04,map00230  Purine metabolism,R00013 R00364 R00365 R00366 R00369 R00372 R00373 R00465,1.1.1.26        1.1.1.29        1.1.1.79        1.1.3.15,
C00049,L-Aspartate;,C4H7NO4,133.0375,133.10,map00220  Arginine biosynthesis,R00355 R00357 R00373 R00397 R00400 R00480 R00481 R00482,1.2.1.-         1.4.1.21        1.4.3.2         1.4.3.16,
C00050,Metal,,,,,,,
C00051,Glutathione;,C10H17N3O6S,307.0838,307.33,map00270  Cysteine and methionine metabolism,R00094 R00115 R00120 R00274 R00494 R00497 R00499 R00527,1.5.4.1         1.8.1.7         1.8.1.9         1.8.1.10,
C00052,UDP-alpha-D-galactose;,C15H24N2O17P2,566.0550,566.30,map00052  Galactose metabolism,R00291 R00501 R00502 R00503 R00504 R00505 R00506 R00809,1.1.1.-         2.4.1.22        2.4.1.23        2.4.1.37,
C00053,3'-Phosphoadenylyl sulfate;,C10H15N5O13P2S,506.9862,507.27,map00230  Purine metabolism,R00507 R00508 R00509 R00535 R00536 R00537 R00629 R01027,1.8.4.8         2.7.1.25        2.8.2.1         2.8.2.2,
C00054,"Adenosine 3',5'-bisphosphate;",C10H15N5O10P2,427.0294,427.20,map00230  Purine metabolism,R00188 R00507 R00535 R00536 R00537 R00629 R01027 R01236,1.8.4.8         2.7.8.7         2.7.8.-         2.8.2.1,
C00055,CMP;,C9H14N3O8P,323.0519,323.20,map00240  Pyrimidine metabolism,R00510 R00511 R00512 R00513 R00514 R00515 R00517 R00855,2.4.2.57        2.4.3.1         2.4.3.2         2.4.3.4,
C00058,Formate;,CH2O2,46.0055,46.03,map00440  Phosphonate and phosphinate metabolism,R00134 R00152 R00212 R00424 R00425 R00518 R00519 R00521,1.1.1.306       1.1.98.6        1.2.1.46        1.2.2.1,
C00059,Sulfate;,H2SO4,97.9674,98.08,map00230  Purine metabolism,R00507 R00528 R00529 R00530 R00531 R00532 R00533 R00534,1.8.2.1         1.8.3.1         1.8.4.3         1.8.5.6,
C00060,Carboxylate;,CO2R,,,,R00383 R00394 R00538 R00539 R00540 R00542 R00543 R00544,1.1.1.318       1.2.1.3         1.2.1.4         1.2.1.5,
C00061,FMN;,C17H21N4O9P,456.1046,456.34,map00740  Riboflavin metabolism,R00025 R00160 R00161 R00548 R00549 R00550 R04102 R05218,1.1.99.31       1.3.8.16        1.3.8.17        1.5.1.36,
C00062,L-Arginine;,C6H14N4O2,174.1117,174.20,map00220  Arginine biosynthesis,R00551 R00552 R00554 R00557 R00558 R00559 R00562 R00563,1.4.1.25        1.4.3.25        1.5.1.11        1.5.1.19,
C00063,CTP;,C9H16N3O14P3,482.9845,483.16,map00240  Pyrimidine metabolism,R00442 R00515 R00569 R00570 R00571 R00572 R00573 R00574,1.1.98.6        1.17.4.2        2.7.1.11        2.7.1.40,
C00064,L-Glutamine;,C5H10N2O3,146.0691,146.14,map00220  Arginine biosynthesis,R00021 R00093 R00114 R00253 R00256 R00257 R00573 R00575,1.4.1.13        1.4.1.14        1.4.7.1         2.3.1.14,
C00065,L-Serine;,C3H7NO3,105.0426,105.09,"map00260  Glycine, serine and threonine metabolism",R00220 R00581 R00582 R00584 R00585 R00586 R00588 R00589,1.1.1.276       1.1.1.387       1.4.1.7         2.1.2.1,
C00066,tRNA;,C10H17O10PR2(C5H8O6PR)n,,,,R04238 R04684 R04685 R07285,2.3.2.12        2.7.7.56        3.1.1.29,
C00067,Formaldehyde;,CH2O,30.0106,30.03,map00625  Chloroalkane and chloroalkene degradation,R00602 R00603 R00604 R00605 R00606 R00608 R00609 R00610,1.1.1.244       1.1.2.7         1.1.2.10        1.1.3.13,
C00068,Thiamin diphosphate;,C12H19N4O7P2S,425.0450,425.32,map00010  Glycolysis / Gluconeogenesis,R00014 R00615 R00616 R00617 R00618 R00619 R00621 R00755,1.2.4.1         1.2.4.2         1.2.4.4         1.2.4.-,
C00069,Alcohol,HOR,,,,R00626 R00627 R00628 R00629 R00630 R00857 R01478 R01480,1.1.1.2         1.1.1.71        1.11.2.3        2.3.1.84,
C00070,Copper,Cu,62.9296,63.55,map02010  ABC transporters,,,
C00071,Aldehyde;,CHOR,,,map00071  Fatty acid degradation,R00538 R00544 R00623 R00625 R00631 R00634 R00635 R00636,1.1.1.1         1.1.1.2         1.1.1.71        1.1.2.7,
C00072,Ascorbate;,C6H8O6,176.0321,176.12,map00053  Ascorbate and aldarate metabolism,R00068 R00095 R00640 R00643 R00644 R00645 R00646 R00647,1.1.3.8         1.3.2.3         1.3.3.12        1.6.5.4,
C00073,L-Methionine;,C5H11NO2S,149.0511,149.21,map00270  Cysteine and methionine metabolism,R00177 R00648 R00649 R00650 R00651 R00652 R00653 R00654,1.1.98.7        1.1.99.38       1.3.98.3        1.3.98.6,
C00074,Phosphoenolpyruvate;,C3H5O6P,167.9824,168.04,map00010  Glycolysis / Gluconeogenesis,R00199 R00200 R00206 R00208 R00341 R00345 R00346 R00430,2.5.1.7         2.5.1.19        2.5.1.54        2.5.1.55,
C00075,UTP;,C9H15N2O15P3,483.9685,484.14,map00240  Pyrimidine metabolism,R00156 R00157 R00159 R00289 R00416 R00443 R00502 R00571,1.1.98.6        1.17.4.2        2.7.1.11        2.7.1.40,
C00076,Calcium cation;,Ca,39.9626,40.08,map04010  MAPK signaling pathway,,,
C00077,L-Ornithine;,C5H12N2O2,132.0899,132.16,map00220  Arginine biosynthesis,R00551 R00565 R00664 R00665 R00666 R00667 R00668 R00669,1.5.1.24        1.14.13.195     1.14.13.196     2.1.3.3,
C00078,L-Tryptophan;,C11H12N2O2,204.0899,204.22,"map00260  Glycine, serine and threonine metabolism",R00673 R00674 R00675 R00676 R00677 R00678 R00679 R00681,1.3.3.10        1.4.1.19        1.4.3.2         1.4.3.-,
C00079,L-Phenylalanine;,C9H11NO2,165.0790,165.19,map00360  Phenylalanine metabolism,R00686 R00688 R00689 R00690 R00691 R00692 R00693 R00694,1.4.1.20        1.4.3.2         1.11.1.21       1.13.12.9,
C00080,H+;,H,1.0078,1.01,map00190  Oxidative phosphorylation,R00011 R00019 R00021 R00023 R00067 R00078 R00081 R00090,1.1.1.1         1.1.1.2         1.1.1.3         1.1.1.4,
C00081,ITP;,C10H15N4O14P3,507.9798,508.17,map00230  Purine metabolism,R00088 R00719 R00720 R00722 R00723 R00724 R00725 R00726,2.7.1.1         2.7.1.11        2.7.1.40        2.7.4.6,
C00082,L-Tyrosine;,C9H11NO3,181.0739,181.19,map00130  Ubiquinone and other terpenoid-quinone biosynthesis,R00031 R00728 R00729 R00730 R00731 R00732 R00733 R00734,1.2.1.101       1.3.1.43        1.3.1.78        1.3.1.79,
C00083,Malonyl-CoA;,C24H38N7O19P3S,853.1156,853.58,map00061  Fatty acid biosynthesis,R00233 R00353 R00740 R00742 R00743 R00744 R00989 R01613,1.2.1.75        2.1.3.1         2.1.3.15        2.3.1.39,
C00084,Acetaldehyde;,C2H4O,44.0262,44.05,map00010  Glycolysis / Gluconeogenesis,R00025 R00224 R00228 R00326 R00710 R00711 R00746 R00747,1.1.1.1         1.1.1.2         1.1.1.71        1.1.2.7,
C00085,D-Fructose 6-phosphate;,C6H13O9P,260.0297,260.14,map00010  Glycolysis / Gluconeogenesis,R00756 R00758 R00760 R00761 R00762 R00763 R00764 R00765,1.1.1.17        1.1.1.140       2.2.1.1         2.2.1.2,
C00086,Urea;,CH4N2O,60.0324,60.06,map00220  Arginine biosynthesis,R00131 R00551 R00774 R00775 R00776 R00777 R00778 R00913,3.5.1.5         3.5.1.95        3.5.2.1         3.5.3.1,
C00087,Sulfur;,S,31.9721,32.07,map00920  Sulfur metabolism,R00864 R03533 R04094 R05259 R07365 R09499 R10419 R10438,1.8.1.18        1.8.2.3         1.8.2.7         1.13.11.55,
C00088,Nitrite,HNO2,47.0007,47.01,map00910  Nitrogen metabolism,R00025 R00280 R00783 R00784 R00785 R00787 R00789 R00790,1.7.1.1         1.7.1.2         1.7.1.3         1.7.1.4,
C00089,Sucrose;,C12H22O11,342.1162,342.30,map00052  Galactose metabolism,R00015 R00039 R00801 R00802 R00803 R00805 R00806 R00807,1.1.99.13       2.4.1.4         2.4.1.5         2.4.1.7,
C00090,Catechol;,C6H6O2,110.0368,110.11,map00361  Chlorocyclohexane and chlorobenzene degradation,R00058 R00080 R00812 R00813 R00814 R00815 R00816 R00817,1.1.3.14        1.3.1.19        1.3.1.20        1.3.1.25,
C00091,Succinyl-CoA;,C25H40N7O19P3S,867.1313,867.61,map00020  Citrate cycle (TCA cycle),R00265 R00405 R00406 R00407 R00410 R00432 R00727 R00829,1.2.1.52        1.2.1.76        1.2.1.105       1.2.7.3,
C00092,D-Glucose 6-phosphate;,C6H13O9P,260.0297,260.14,map00500  Starch and sucrose metabolism,R00299 R00303 R00725 R00771 R00834 R00835 R00836 R00837,1.1.1.49        1.1.1.200       1.1.1.361       1.1.1.363,
C00093,sn-Glycerol 3-phosphate;,C3H9O6P,172.0137,172.07,map00561  Glycerolipid metabolism,R00841 R00842 R00844 R00845 R00846 R00847 R00848 R00849,1.1.1.8         1.1.1.94        1.1.1.177       1.1.3.21,
C00094,Sulfite;,H2SO3,81.9725,82.08,map00270  Cysteine and methionine metabolism,R00528 R00533 R00858 R00859 R00860 R00861 R00864 R00901,1.8.1.2         1.8.1.22        1.8.2.1         1.8.2.5,
C00095,D-Fructose;,C6H12O6,180.0634,180.16,map00051  Fructose and mannose metabolism,R00760 R00801 R00803 R00806 R00865 R00866 R00867 R00868,1.1.1.11        1.1.1.14        1.1.1.15        1.1.1.67,
C00096,GDP-mannose;,C16H25N5O16P2,605.0772,605.34,map00051  Fructose and mannose metabolism,R00880 R00881 R00883 R00885 R00887 R00888 R00889 R00890,1.1.1.132       2.4.1.32        2.4.1.48        2.4.1.54,
C00097,L-Cysteine;,C3H7NO2S,121.0198,121.16,"map00260  Glycine, serine and threonine metabolism",R00782 R00891 R00892 R00893 R00894 R00895 R00896 R00897,1.8.1.6         1.8.1.9         1.8.1.10        1.8.3.5,
C00098,Oligopeptide,C2H4NO2R(C2H2NOR)n,,,map02010  ABC transporters,,,
C00099,beta-Alanine;,C3H7NO2,89.0477,89.09,map00240  Pyrimidine metabolism,R00489 R00904 R00905 R00906 R00907 R00908 R00909 R00910,1.2.1.3         1.2.1.5         1.2.1.19        1.5.1.26,
C00100,Propanoyl-CoA;,C24H40N7O17P3S,823.1414,823.60,"map00280  Valine, leucine and isoleucine degradation",R00918 R00919 R00920 R00921 R00922 R00923 R00925 R00926,1.2.1.27        1.2.1.87        1.2.7.1         1.3.1.84,
C00101,Tetrahydrofolate;,C19H23N7O6,445.1710,445.43,"map00260  Glycine, serine and threonine metabolism",R00611 R00936 R00937 R00939 R00940 R00941 R00942 R00943,1.4.1.27        1.5.1.3         1.5.1.6         1.5.3.10,
C00102,"2,6-Dichloroindophenol;",C12H7Cl2NO2,266.9854,268.09,,,,
C00103,D-Glucose 1-phosphate;,C6H13O9P,260.0297,260.14,map00010  Glycolysis / Gluconeogenesis,R00287 R00289 R00304 R00550 R00803 R00947 R00948 R00949,2.4.1.1         2.4.1.7         2.4.1.20        2.4.1.30,
C00104,IDP;,C10H14N4O11P2,428.0134,428.19,map00230  Purine metabolism,R00123 R00719 R00722 R00724 R00725 R00726 R00727 R00770,2.7.1.1         2.7.1.11        2.7.1.40        2.7.4.6,
C00105,UMP;,C9H13N2O9P,324.0359,324.18,map00240  Pyrimidine metabolism,R00155 R00158 R00287 R00504 R00662 R00963 R00964 R00965,1.14.11.49      2.4.2.9         2.4.2.57        2.7.1.48,
C00106,Uracil,C4H4N2O2,112.0273,112.09,map00240  Pyrimidine metabolism,R00966 R00973 R00974 R00975 R00976 R00977 R00978 R01055,1.3.1.1         1.3.1.2         1.3.3.7         1.14.11.10,
C00107,Dipeptide,C4H6N2O3R2,,,map02010  ABC transporters,,,
C00108,Anthranilate;,C7H7NO2,137.0477,137.14,map00380  Tryptophan metabolism,R00823 R00825 R00980 R00982 R00983 R00984 R00985 R00986,1.4.-.-         1.7.1.17        1.13.11.23      1.14.12.1,
C00109,2-Oxobutanoate;,C4H6O3,102.0317,102.09,"map00260  Glycine, serine and threonine metabolism",R00654 R00993 R00994 R00995 R00996 R00997 R00998 R00999,1.1.1.27        1.1.1.85        1.2.3.-         1.2.4.4,
C00110,Dolichyl phosphate;,C20H37O4P(C5H8)n,,,map00510  N-Glycan biosynthesis,R01003 R01004 R01005 R01006 R01007 R01009 R01018 R01328,2.4.1.83        2.4.1.109       2.4.1.117       2.4.2.32,
C00111,Glycerone phosphate;,C3H7O6P,169.9980,170.06,map00010  Glycolysis / Gluconeogenesis,R00842 R00844 R00846 R00848 R00849 R01010 R01011 R01012,1.1.1.8         1.1.1.94        1.1.1.261       1.1.1.408,
C00112,CDP;,C9H15N3O11P2,403.0182,403.18,map00240  Pyrimidine metabolism,R00440 R00512 R00514 R00569 R00570 R00572 R00767 R01018,1.17.4.1        2.4.1.60        2.4.1.382       2.7.1.11,
C00113,PQQ;,C14H6N2O8,330.0124,330.21,,R01019 R01873 R02415 R03535 R05120 R05121 R07353,1.1.5.8         1.2.5.2         1.3.3.11,
C00114,Choline;,C5H14NO,104.1075,104.17,"map00260  Glycine, serine and threonine metabolism",R01021 R01022 R01023 R01025 R01026 R01027 R01028 R01029,1.1.1.1         1.1.3.17        1.1.99.1        1.14.15.7,
C00116,Glycerol;,C3H8O3,92.0473,92.09,map00040  Pentose and glucuronate interconversions,R00841 R00847 R00850 R01034 R01036 R01039 R01041 R01043,1.1.1.2         1.1.1.6         1.1.1.21        1.1.1.72,
C00117,D-Ribose 5-phosphate;,C5H11O8P,230.0192,230.11,map00030  Pentose phosphate pathway,R00182 R00510 R01049 R01050 R01051 R01052 R01053 R01054,2.2.1.1         2.2.1.4         2.7.1.15        2.7.1.18,
C00118,D-Glyceraldehyde 3-phosphate;,C3H7O6P,169.9980,170.06,map00010  Glycolysis / Gluconeogenesis,R00845 R01015 R01058 R01059 R01061 R01063 R01064 R01066,1.1.1.177       1.2.1.9         1.2.1.12        1.2.1.13,
C00119,5-Phospho-alpha-D-ribose 1-diphosphate;,C5H13O14P3,389.9518,390.07,map00030  Pentose phosphate pathway,R00190 R00966 R01049 R01071 R01072 R01073 R01132 R01229,2.4.2.7         2.4.2.8         2.4.2.9         2.4.2.10,
C00120,Biotin;,C10H16N2O3S,244.0882,244.31,map00780  Biotin metabolism,R01074 R01075 R01077 R01078 R04562 R04563 R04582 R04604,1.-.-.-         2.8.1.6         3.5.1.12        6.2.1.11,
C00121,D-Ribose,C5H10O5,150.0528,150.13,map00030  Pentose phosphate pathway,R01051 R01079 R01080 R01081 R01245 R01273 R01677 R01770,1.1.1.115       2.7.1.15        3.2.2.1         3.2.2.2,
C00122,Fumarate;,C4H4O4,116.0110,116.07,map00020  Citrate cycle (TCA cycle),R00402 R00408 R00412 R00490 R01082 R01083 R01085 R01086,1.3.1.6         1.3.2.4         1.3.4.1         1.3.5.1,
C00123,L-Leucine;,C6H13NO2,131.0946,131.17,"map00280  Valine, leucine and isoleucine degradation",R01088 R01089 R01090 R01091 R02552 R03657 R08411 R08664,1.4.1.9         1.14.13.-       2.3.1.66        2.6.1.6,
C00124,D-Galactose;,C6H12O6,180.0634,180.16,map00052  Galactose metabolism,R01093 R01094 R01095 R01096 R01097 R01098 R01099 R01101,1.1.1.21        1.1.1.48        1.1.1.120       1.1.1.121,
C00125,Ferricytochrome c;,C42H44FeN8O8S2R4,,,,R00017 R00029 R00081 R00196 R00197 R00294 R00364 R00528,1.1.2.2         1.1.2.3         1.1.2.4         1.1.2.6,
C00126,Ferrocytochrome c;,C42H44FeN8O8S2R4,,,,R00017 R00029 R00081 R00196 R00197 R00294 R00364 R00528,1.1.2.2         1.1.2.3         1.1.2.4         1.1.2.6,
C00127,Glutathione disulfide;,C20H32N6O12S2,612.1520,612.64,map00480  Glutathione metabolism,R00094 R00115 R00120 R00274 R01108 R01109 R01110 R01111,1.5.4.1         1.8.1.7         1.8.3.3         1.8.4.1,
C00128,CMP-N-acetylneuraminate;,C20H31N4O16P,614.1473,614.45,map00520  Amino sugar and nucleotide sugar metabolism,R01115 R01117 R01119 R01120 R03468 R03488 R03489 R04532,1.14.18.2       2.3.1.45        2.4.3.1         2.4.3.2,
C00129,Isopentenyl diphosphate;,C5H12O7P2,246.0058,246.09,map00900  Terpenoid backbone biosynthesis,R01121 R01123 R01658 R01659 R02003 R02061 R03917 R05555,1.17.7.4        2.5.1.1         2.5.1.10        2.5.1.20,
C00130,IMP;,C10H13N4O8P,348.0471,348.21,map00230  Purine metabolism,R00181 R00720 R00961 R01126 R01127 R01128 R01130 R01131,1.1.1.205       1.7.1.7         2.4.2.8         2.7.1.73,
C00131,dATP;,C10H16N5O12P3,491.0008,491.18,map00230  Purine metabolism,R00375 R01137 R01138 R01139 R01140 R01330 R01965 R02014,1.1.98.6        1.17.4.2        2.6.99.1        2.7.1.1,
C00132,Methanol;,CH4O,32.0262,32.04,map00650  Butanoate metabolism,R00602 R00605 R00608 R00614 R01142 R01143 R01144 R01145,1.1.1.244       1.1.2.7         1.1.2.10        1.1.3.13,
C00133,D-Alanine;,C3H7NO2,89.0477,89.09,map00470  D-Amino acid metabolism,R00399 R00401 R01147 R01148 R01149 R01150 R01225 R01344,1.4.3.3         1.4.3.19        2.1.2.7         2.3.1.263,
C00134,Putrescine;,C4H12N2,88.1000,88.15,map00330  Arginine and proline metabolism,R00018 R00670 R01151 R01152 R01153 R01154 R01155 R01156,1.4.3.10        1.4.3.22        1.5.1.43        1.5.3.13,
C00135,L-Histidine;,C6H9N3O2,155.0695,155.15,map00340  Histidine metabolism,R01158 R01159 R01160 R01161 R01163 R01164 R01166 R01167,1.1.1.23        1.14.99.52      2.1.1.44        2.1.1.-,
